date;cloud_cover;sunshine;global_radiation;max_temp;mean_temp;min_temp;precipitation;pressure;snow_depth
1979/01/01;2.0;7.0;52.0;2.3;-4.1;-7.5;0.4;101900.0;9.0
1979/01/02;6.0;1.7;27.0;1.6;-2.6;-7.5;0.0;102530.0;8.0
1979/01/03;5.0;0.0;13.0;1.3;-2.8;-7.2;0.0;102050.0;4.0
1979/01/04;8.0;0.0;13.0;-0.3;-2.6;-6.5;0.0;100840.0;2.0
1979/01/05;6.0;2.0;29.0;5.6;-0.8;-1.4;0.0;102250.0;1.0
1979/01/06;5.0;3.8;39.0;8.3;-0.5;-6.6;0.7;102780.0;1.0
1979/01/07;8.0;0.0;13.0;8.5;1.5;-5.3;5.2;102520.0;0.0
1979/01/08;8.0;0.1;15.0;5.8;6.9;5.3;0.8;101870.0;0.0
1979/01/09;4.0;5.8;50.0;5.2;3.7;1.6;7.2;101170.0;0.0
1979/01/10;7.0;1.9;30.0;4.9;3.3;1.4;2.1;98700.0;0.0
1979/01/11;1.0;6.8;55.0;2.9;2.6;0.3;2.3;98960.0;0.0
1979/01/12;3.0;6.4;54.0;2.0;0.4;-2.0;0.0;100650.0;1.0
1979/01/13;1.0;7.0;57.0;4.3;-2.6;-7.1;0.0;102350.0;1.0
1979/01/14;7.0;0.0;14.0;6.7;-0.6;-5.6;0.8;102700.0;1.0
1979/01/15;;0.0;15.0;5.9;3.8;1.0;0.1;102990.0;0.0
1979/01/16;8.0;0.0;15.0;2.6;5.0;4.1;3.9;103100.0;0.0
1979/01/17;8.0;0.0;15.0;1.9;2.1;1.6;2.5;102220.0;0.0
1979/01/18;8.0;0.0;15.0;3.0;0.8;-0.2;0.2;101860.0;0.0
1979/01/19;8.0;0.0;16.0;7.2;0.8;-1.4;5.2;100910.0;0.0
1979/01/20;7.0;0.0;16.0;3.5;3.1;-1.0;0.0;100920.0;0.0
1979/01/21;;0.0;16.0;1.5;0.0;-3.5;0.1;102170.0;0.0
1979/01/22;8.0;0.0;16.0;0.3;-0.2;-1.8;6.2;101680.0;0.0
1979/01/23;7.0;0.0;17.0;2.9;-1.0;-2.3;1.0;100970.0;6.0
1979/01/24;3.0;4.8;54.0;5.6;-1.4;-5.6;1.4;101010.0;6.0
1979/01/25;8.0;0.0;17.0;2.8;0.6;-4.5;5.3;99660.0;1.0
1979/01/26;5.0;2.6;42.0;1.6;0.8;-1.1;0.1;99280.0;1.0
1979/01/27;4.0;2.1;39.0;4.5;-1.8;-5.2;0.0;99770.0;0.0
1979/01/28;7.0;3.1;47.0;4.8;0.0;-4.4;7.5;99470.0;0.0
1979/01/29;4.0;1.0;31.0;4.0;1.9;-1.0;4.4;98920.0;0.0
1979/01/30;5.0;0.8;30.0;7.3;0.7;-2.6;0.1;100070.0;0.0
1979/01/31;5.0;1.6;38.0;9.1;2.1;-3.1;2.4;101390.0;0.0
